,Algorithm,Instance,Total Cost,Running Time,Type,Small-ratio,Medium-ratio,Large-ratio,Number of Customers,Number of Clusters,Region
377,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.20_0.20_0.60_1,6.0,3.0,Generated,0.2,0.2,0.6,50,3,SBY
378,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.20_0.20_0.60_2,8.0,0.0,Generated,0.2,0.2,0.6,50,3,SBY
379,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.20_0.60_0.20_0,8.0,2.0,Generated,0.2,0.6,0.2,50,3,SBY
380,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.20_0.60_0.20_1,7.0,4.0,Generated,0.2,0.6,0.2,50,3,SBY
381,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.20_0.60_0.20_2,8.0,3.0,Generated,0.2,0.6,0.2,50,3,SBY
382,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.33_0.33_0.33_0,7.0,2.0,Generated,0.33,0.33,0.33,50,3,SBY
383,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.33_0.33_0.33_1,6.0,8.0,Generated,0.33,0.33,0.33,50,3,SBY
384,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.33_0.33_0.33_2,6.0,6.0,Generated,0.33,0.33,0.33,50,3,SBY
385,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.60_0.20_0.20_0,5.0,2.0,Generated,0.6,0.2,0.2,50,3,SBY
386,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.60_0.20_0.20_1,6.0,0.0,Generated,0.6,0.2,0.2,50,3,SBY
387,AVNS,SBY_nc_48_ncl_3_nv_100_generated_r_0.60_0.20_0.20_2,6.0,5.0,Generated,0.6,0.2,0.2,50,3,SBY
388,AVNS,SBY_nc_48_ncl_3_nv_100_historical_0,4.0,4.0,Historical,,,,50,3,SBY
389,AVNS,SBY_nc_48_ncl_3_nv_100_historical_1,4.0,6.0,Historical,,,,50,3,SBY
390,AVNS,SBY_nc_48_ncl_3_nv_100_historical_2,4.0,7.0,Historical,,,,50,3,SBY
391,AVNS,SBY_nc_48_ncl_3_nv_100_historical_3,4.0,6.0,Historical,,,,50,3,SBY
392,AVNS,SBY_nc_48_ncl_3_nv_100_historical_4,4.0,4.0,Historical,,,,50,3,SBY
393,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.20_0.20_0.60_0,6.0,5.0,Generated,0.2,0.2,0.6,50,1,SBY
394,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.20_0.20_0.60_1,7.0,0.0,Generated,0.2,0.2,0.6,50,1,SBY
395,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.20_0.20_0.60_2,7.0,0.0,Generated,0.2,0.2,0.6,50,1,SBY
396,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.20_0.60_0.20_0,7.0,9.0,Generated,0.2,0.6,0.2,50,1,SBY
397,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.20_0.60_0.20_1,8.0,4.0,Generated,0.2,0.6,0.2,50,1,SBY
398,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.20_0.60_0.20_2,7.0,6.0,Generated,0.2,0.6,0.2,50,1,SBY
399,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.33_0.33_0.33_0,7.0,7.0,Generated,0.33,0.33,0.33,50,1,SBY
400,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.33_0.33_0.33_1,7.0,4.0,Generated,0.33,0.33,0.33,50,1,SBY
401,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.33_0.33_0.33_2,8.0,3.0,Generated,0.33,0.33,0.33,50,1,SBY
402,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.60_0.20_0.20_0,6.0,2.0,Generated,0.6,0.2,0.2,50,1,SBY
403,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.60_0.20_0.20_1,6.0,4.0,Generated,0.6,0.2,0.2,50,1,SBY
404,AVNS,SBY_nc_50_ncl_1_nv_100_generated_r_0.60_0.20_0.20_2,5.0,6.0,Generated,0.6,0.2,0.2,50,1,SBY
405,AVNS,SBY_nc_50_ncl_1_nv_100_historical_0,7.0,7.0,Historical,,,,50,1,SBY
406,AVNS,SBY_nc_50_ncl_1_nv_100_historical_1,7.0,6.0,Historical,,,,50,1,SBY
407,AVNS,SBY_nc_50_ncl_1_nv_100_historical_2,7.0,8.0,Historical,,,,50,1,SBY
408,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.20_0.20_0.60_0,8.0,3.0,Generated,0.2,0.2,0.6,50,5,SBY
409,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.20_0.20_0.60_1,7.0,3.0,Generated,0.2,0.2,0.6,50,5,SBY
410,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.20_0.20_0.60_2,6.0,8.0,Generated,0.2,0.2,0.6,50,5,SBY
411,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.20_0.60_0.20_0,8.0,7.0,Generated,0.2,0.6,0.2,50,5,SBY
412,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.20_0.60_0.20_1,9.0,8.0,Generated,0.2,0.6,0.2,50,5,SBY
413,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.20_0.60_0.20_2,8.0,7.0,Generated,0.2,0.6,0.2,50,5,SBY
414,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.33_0.33_0.33_0,6.0,8.0,Generated,0.33,0.33,0.33,50,5,SBY
415,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.33_0.33_0.33_1,8.0,9.0,Generated,0.33,0.33,0.33,50,5,SBY
416,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.33_0.33_0.33_2,8.0,1.0,Generated,0.33,0.33,0.33,50,5,SBY
417,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.60_0.20_0.20_0,5.0,4.0,Generated,0.6,0.2,0.2,50,5,SBY
418,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.60_0.20_0.20_1,5.0,5.0,Generated,0.6,0.2,0.2,50,5,SBY
419,AVNS,SBY_nc_50_ncl_5_nv_100_generated_r_0.60_0.20_0.20_2,5.0,7.0,Generated,0.6,0.2,0.2,50,5,SBY
420,AVNS,SBY_nc_50_ncl_5_nv_100_historical_0,4.0,7.0,Historical,,,,50,5,SBY
421,AVNS,SBY_nc_50_ncl_5_nv_100_historical_1,5.0,7.0,Historical,,,,50,5,SBY
422,AVNS,SBY_nc_50_ncl_5_nv_100_historical_2,8.0,6.0,Historical,,,,50,5,SBY
423,BRKGA,JK2_nc_12_ncl_5_nv_30_generated_r_0.20_0.60_0.20_0,2.0,2.0,Generated,0.2,0.6,0.2,15,5,JK2
424,BRKGA,JK2_nc_12_ncl_5_nv_30_generated_r_0.60_0.20_0.20_0,1.0,5.0,Generated,0.6,0.2,0.2,15,5,JK2
425,BRKGA,JK2_nc_12_ncl_5_nv_30_historical_0,9.0,3.0,Historical,,,,15,5,JK2
426,BRKGA,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.20_0.60_0,2.0,6.0,Generated,0.2,0.2,0.6,15,1,JK2
427,BRKGA,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.20_0.60_1,2.0,7.0,Generated,0.2,0.2,0.6,15,1,JK2
428,BRKGA,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.20_0.60_2,2.0,6.0,Generated,0.2,0.2,0.6,15,1,JK2
429,BRKGA,JK2_nc_15_ncl_1_nv_30_generated_r_0.20_0.60_0.20_0,3.0,7.0,Generated,0.2,0.6,0.2,15,1,JK2
